新聞,#genre#
NOWnew-AI主播倪珍播新聞,https://www.youtube.com/watch?v=5zr_12Rl8xg
TVBS新聞,https://aka25p.akamaized.net/live/TVBSN/playlist.m3u8#https://www.youtube.com/watch?v=m_dhMSvUCIc
三立新聞,https://www.youtube.com/watch?v=oZdzzvxTfUY#https://ythls.armelin.one/channel/UCoNYj9OFHZn3ACmmeRCPwbA.m3u8
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA#https://ythls.armelin.one/channel/UC2VmWn8dAqkzlQqvy02E1PA.m3u8
年代新聞,https://z02.ubtvfans.com/live/rx1/1099/4392a37019300b097bd520e9b64653d7/index.m3u8#https://z02.ubtvfans.com/live/rx1/2719/e6c557b196839b722c4e29b89f91f5cd/index.m3u8
東森新聞,https://aka25p.akamaized.net/live/EBCNews/playlist.m3u8#https://www.youtube.com/watch?v=V1p33hqPrUk
東森財經新聞,https://www.youtube.com/watch?v=WHEPzbFA3hw
非凡新聞,https://aka03p.akamaized.net/litv/fet001.smil/playlist.m3u8#https://bsex.serv00.net/Smart.php?id=feifannews_twn
壹新聞,https://z02.ubtvfans.com/live/rx3/494/34a10e399d9b6f1cbfc5de4950430a02/index.m3u8
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞台灣,https://www.youtube.com/watch?v=w87VGpgd90U
寰宇財經台,https://www.youtube.com/watch?v=WTRQiVWK1jY
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o#https://ythls.armelin.one/channel/UC4LjkybVKXCDlneVXlKAbmw.m3u8
