Muse木棉花-闔家歡,#genre#
中華一番！,https://www.youtube.com/watch?v=2FJcu6qsM2k
我們這一家,https://www.youtube.com/watch?v=UK81GCw1KE8
蠟筆小新TV版,https://www.youtube.com/watch?v=_jP5o1W3eW0

綜藝,#genre#
ALL THE K-POP,https://www.youtube.com/watch?v=G3NX_hzCuFM
THE K-POP,https://www.youtube.com/watch?v=JVocS7Yftw8
天才衝衝衝,https://www.youtube.com/watch?v=cLMEH5lUZYA
沒玩沒了,https://www.youtube.com/watch?v=HGzIAC5pWr4
飢餓遊戲,https://www.youtube.com/watch?v=A98LJq71BZg
萬秀豬王,https://www.youtube.com/watch?v=ADDSmXoPDY8
綜藝大熱門,https://www.youtube.com/watch?v=-L9cBf3oAO0
豬哥會社,https://www.youtube.com/watch?v=0aBJU1mFpsk

台劇,#genre#
1989一念間,https://www.youtube.com/watch?v=AYNsSaIX3fo
小資女孩向前衝,https://www.youtube.com/watch?v=nrdq4Xskufc
包青天,https://www.youtube.com/watch?v=7vKbx3Ysn-w
我的老師叫小賀,https://www.youtube.com/watch?v=6CQZxYpW9q4
神機妙算劉伯溫,https://www.youtube.com/watch?v=9GZNsvhmPXo
鬥魚&鬥魚2,https://www.youtube.com/watch?v=-9BvmyPIdB0
梅花烙,https://www.youtube.com/watch?v=jkF7cseHZ5s
終極三部曲,https://www.youtube.com/watch?v=Rqgc4mM5A3Y
廉政英雄,https://www.youtube.com/watch?v=b35xJXmJ-8I
新兵日記&特戰英雄,https://www.youtube.com/watch?v=032kEdR9Lic
藍色水玲瓏,https://www.youtube.com/watch?v=rTcTVZBZtYs
